"","Pseudomonas.1","Cellvibrio","Pseudomonas.2","Lacunisphaera","Asticcacaulis","Cohnella","Taibaiella","Xylophilus","Leadbetterella","Shinella","Stenotrophomonas","Pleomorphomonas","Bordetella"
"3C_A_6",0.00272304262609034,0.310711133055044,0.253961129314601,0.00445860825590616,0.0618669299938657,0.160105929350509,0.0385265646273771,0.020213354878286,0.011355985457157,0.00674775947454254,0.00520669688944746,0.0267815730807786,0.00064335622484552
"3C_B_1",0.00473729543496985,0.601851851851852,0.051483830553598,0.00138986766893744,0.19702842377261,0.0905763056925848,0.00324954976117767,0.0113734241641218,0.00912223005246261,0.00808472320100227,0.000274058413593297,0,0.00109623365437319
"3C_B_2",0.0053276505061268,0.599994240377831,0.0259902950366456,0.0020590649253409,0.162766922489885,0.126783682990396,0.0106409019568316,0.0171780731184034,0.0103241227375484,0.0109864792869588,0.000878342380739824,0,0.0014111074313525
"3C_B_3",0.0140553408664743,0.514308076114073,0.0187513248218624,0.000790816742487241,0.166625902917054,0.191206443933539,0.0211645387989369,0.0268388527450309,0.0133868153728253,0.0107127133982292,0.00050547049519803,0,0.000823427742177436
"3C_B_4",0.00474098057354302,0.297617946345976,0.238945420906568,0.00196577243293247,0.126422294172063,0.169125809435708,0.0412002775208141,0.0242599444958372,0.0201665124884366,0.0137257169287697,0.00393154486586494,0.019067992599445,0.000948196114708603
"3C_B_5",0.00307068048472885,0.395770503189487,0.17744146515326,0.00197400888303997,0.0960318765878891,0.158341101423845,0.0362815521558736,0.0224452121145656,0.0133976714006324,0.0110215495969732,0.00290617974447552,0.0184240829083731,0
"3C_B_6",0.0020742057696785,0.237919867928122,0.298325819628759,0.00673058606895676,0.111266323787754,0.168497470738883,0.0400237052087963,0.0183503714521557,0.015535377907592,0.00692107435392723,0.00340762376447182,0.022625775181493,0.000465638029927826
"3C_C_1",0.00630703740087416,0.655405116815444,0.0370734207491565,0.000925411808254673,0.175500790159313,0.0577456968350916,0.00347385355714062,0.0135821979242301,0.0121869616594769,0.00992326200543857,0.000441350247013767,0.000142371047423796,0.00130981363629892
"3C_C_2",0.0101489389745618,0.689058770118477,0.0219820453114245,0.00196242110042031,0.123530014791383,0.0773838290643352,0.00905056895566979,0.018584420719652,0.0127118023519763,0.0103979028455106,0.00102514535096583,0.000248963870948845,0.00134733388984081
"3C_C_3",0.00277714081887437,0.716247547708222,0.00522306300797473,0.000101913424545848,0.0861932788096512,0.127965043695381,0.0150959260108538,0.0120894799867513,0.012407959438457,0.00936329588014981,0.000433132054319855,0,0.000433132054319855
"3C_C_4",0.00486563604616498,0.55454409948469,0.112825262978578,0.000393935522337209,0.0776478855244666,0.113219198500916,0.0351773774541118,0.0236467782462416,0.0160661811677527,0.0148098462586772,0.00432264383970018,0.0120842383203441,0.000436523146373664
"3C_C_5",0.00369872783665887,0.516179861007447,0.135260652502032,0.000663448939311008,0.0577366439435405,0.119503740193395,0.0425602494568012,0.0303527889734786,0.0135343583619446,0.00889021578676751,0.00326748602610672,0.0160388781078436,0
