"Sample_Name","Hill0","Hill1","Hill2","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run"
"2G_D_6",29,2.23342986347984,1.74147793242799,"Glucose",2,"2G","D",6,"run2"
"2G_D_7",24,2.40583556563094,1.99337507954358,"Glucose",2,"2G","D",7,"run2"
"2G_E_2",20,2.16296537567593,1.75406005475442,"Glucose",2,"2G","E",2,"run2"
"2G_E_3",10,2.30504354771332,1.82981670096411,"Glucose",2,"2G","E",3,"run1"
"2G_E_4",24,2.57665443776595,1.94576980612971,"Glucose",2,"2G","E",4,"run2"
"2G_E_5",25,2.61395930342419,1.91841863264085,"Glucose",2,"2G","E",5,"run2"
"2G_E_6",27,2.47794637272097,1.98025049527991,"Glucose",2,"2G","E",6,"run2"
"2G_E_7",25,2.44603085973345,2.02188567383465,"Glucose",2,"2G","E",7,"run2"
"3C_A_1",35,3.32997854221019,2.05014118773365,"Cellulose",3,"3C","A",1,"run2"
"3C_A_2",36,3.77422526803772,2.32321231936135,"Cellulose",3,"3C","A",2,"run2"
"3C_A_3",34,3.71402832876815,2.3954079550482,"Cellulose",3,"3C","A",3,"run2"
"3C_A_4",35,5.66775133629646,3.78788477656876,"Cellulose",3,"3C","A",4,"run2"
"3C_A_5",34,5.85232740461637,3.78588938165626,"Cellulose",3,"3C","A",5,"run2"
"3C_A_6",37,6.0542326759212,4.36279000361516,"Cellulose",3,"3C","A",6,"run2"
"3C_A_7",12,5.49307047433276,4.15067677805722,"Cellulose",3,"3C","A",7,"run1"
"3C_B_1",29,3.68770848398911,2.42135342426974,"Cellulose",3,"3C","B",1,"run2"
"3C_B_2",35,3.96436867821468,2.46844054405695,"Cellulose",3,"3C","B",2,"run2"
"3C_B_3",39,4.52229105347428,3.00876276264762,"Cellulose",3,"3C","B",3,"run2"
"3C_B_4",35,7.03051719122973,5.10116906003691,"Cellulose",3,"3C","B",4,"run2"
"3C_B_5",31,5.93505902181378,4.0778442409809,"Cellulose",3,"3C","B",5,"run2"
"3C_B_6",33,6.4400620822938,4.78699141429478,"Cellulose",3,"3C","B",6,"run2"
"3C_B_7",14,6.11511510280207,4.63930850783544,"Cellulose",3,"3C","B",7,"run1"
"3C_C_1",36,3.45976581309299,2.14202805783147,"Cellulose",3,"3C","C",1,"run2"
"3C_C_2",33,3.3979552919181,2.00485062066252,"Cellulose",3,"3C","C",2,"run2"
"3C_C_3",27,2.86091556829446,1.85640499216086,"Cellulose",3,"3C","C",3,"run2"
"3C_C_4",40,4.9496336294916,2.87434343210722,"Cellulose",3,"3C","C",4,"run2"
"3C_C_5",30,4.99190335678455,3.0422879455366,"Cellulose",3,"3C","C",5,"run2"
"3C_C_6",36,7.3316890942414,5.05560311804609,"Cellulose",3,"3C","C",6,"run2"
"3C_C_7",17,6.35404856805829,4.51635079802948,"Cellulose",3,"3C","C",7,"run1"
"3C_D_1",33,3.51977110185205,2.16167633545144,"Cellulose",3,"3C","D",1,"run2"
"3C_D_2",29,3.7589913575998,2.28214079468428,"Cellulose",3,"3C","D",2,"run2"
"3C_D_3",32,3.1136015086298,2.00744040569618,"Cellulose",3,"3C","D",3,"run2"
"3C_D_4",35,5.55952939995986,3.56397734001314,"Cellulose",3,"3C","D",4,"run2"
"3C_D_5",39,5.79532510137067,3.52877834721168,"Cellulose",3,"3C","D",5,"run2"
"3C_D_6",31,5.81798521319692,4.09258732947861,"Cellulose",3,"3C","D",6,"run2"
"3C_D_7",14,5.4575691076379,4.1549508827833,"Cellulose",3,"3C","D",7,"run1"
"3C_E_2",32,4.23117774587991,2.7890524467455,"Cellulose",3,"3C","E",2,"run2"
