"Sample_Name","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run","Richness","Shannon","InverseSimpson","Pielou"
"2G_C_2","Glucose","2","2G","C",2,"run2",19,0.760206275568726,1.69614373714625,0.112564070533412
"2G_C_3","Glucose","2","2G","C",3,"run2",19,0.663275414380627,1.53275789995683,0.102165261628036
"2G_C_4","Glucose","2","2G","C",4,"run2",19,0.774336467470616,1.69600272253358,0.114165912969607
"2G_C_6","Glucose","2","2G","C",6,"run2",25,0.915832624344497,1.83387349156317,0.0999541997385575
"2G_C_7","Glucose","2","2G","C",7,"run2",30,0.764173188768847,1.58995005479374,0.071573943210417
"2G_D_2","Glucose","2","2G","D",2,"run2",18,0.748430027304209,1.73925227521837,0.117426610668372
"2G_D_3","Glucose","2","2G","D",3,"run2",17,0.807783630918766,1.95184546610111,0.131937135884159
"2G_D_4","Glucose","2","2G","D",4,"run2",19,0.841049477281792,2.0023635759578,0.122042064598534
"2G_D_5","Glucose","2","2G","D",5,"run2",26,0.981269465795364,2.01958960279958,0.102609262532462
"2G_D_6","Glucose","2","2G","D",6,"run2",29,0.803537284462064,1.74147750235516,0.0770147324027061
"2G_D_7","Glucose","2","2G","D",7,"run2",24,0.877897291319358,1.99337508507997,0.100243150529131
"2G_E_2","Glucose","2","2G","E",2,"run2",20,0.771479963166378,1.75405998412904,0.108148249735702
"2G_E_3","Glucose","2","2G","E",3,"run1",10,0.835099568973806,1.82981670004663,0.230504354768193
"2G_E_4","Glucose","2","2G","E",4,"run2",24,0.946490993578828,1.94576945157741,0.107360511999949
"2G_E_5","Glucose","2","2G","E",5,"run2",25,0.960865258417105,1.91841828977409,0.104558289748555
"2G_E_6","Glucose","2","2G","E",6,"run2",27,0.907430483391215,1.98025063701677,0.0917758229488413
"2G_E_7","Glucose","2","2G","E",7,"run2",25,0.894466626133286,2.02188566539478,0.0978412317026278
"3C_A_1","Cellulose","3","3C","A",1,"run2",35,1.20296547039986,2.05014096986343,0.0951422069775645
"3C_A_2","Cellulose","3","3C","A",2,"run2",36,1.32819494797615,2.32321222387153,0.104839571210202
"3C_A_3","Cellulose","3","3C","A",3,"run2",34,1.3121183550901,2.39540858016376,0.109236265459634
"3C_A_4","Cellulose","3","3C","A",4,"run2",35,1.73479187368429,3.7878842558062,0.161935659243368
"3C_A_5","Cellulose","3","3C","A",5,"run2",34,1.76683998650605,3.78588984702275,0.172127372556922
"3C_A_6","Cellulose","3","3C","A",6,"run2",37,1.80075886639176,4.36279132695687,0.163628110295309
"3C_A_7","Cellulose","3","3C","A",7,"run1",12,1.70348738718184,4.15067678459787,0.457755874261667
"3C_B_1","Cellulose","3","3C","B",1,"run2",29,1.30500396923271,2.42135271669477,0.127162197621732
"3C_B_2","Cellulose","3","3C","B",2,"run2",35,1.37734636685254,2.46844039030738,0.113267647987894
"3C_B_3","Cellulose","3","3C","B",3,"run2",39,1.50901640628228,3.00876113199439,0.115955910752134
"3C_B_4","Cellulose","3","3C","B",4,"run2",35,1.9502602010037,5.1011689340387,0.20087190543172
"3C_B_5","Cellulose","3","3C","B",5,"run2",31,1.78087763739066,4.07784492361934,0.191453644087155
"3C_B_6","Cellulose","3","3C","B",6,"run2",33,1.86253747640607,4.786990494459,0.195153259089803
"3C_B_7","Cellulose","3","3C","B",7,"run1",14,1.81076359306825,4.63930850974863,0.436793936386422
"3C_C_1","Cellulose","3","3C","C",1,"run2",36,1.24120080223078,2.1420279889861,0.0961045962635228
"3C_C_2","Cellulose","3","3C","C",2,"run2",33,1.22317334573043,2.004850380503,0.102968288609309
"3C_C_3","Cellulose","3","3C","C",3,"run2",27,1.05114202509884,1.85640512222147,0.105959870058447
"3C_C_4","Cellulose","3","3C","C",4,"run2",40,1.59931349187662,2.87434340643321,0.123740832357478
"3C_C_5","Cellulose","3","3C","C",5,"run2",30,1.60781656170881,3.04228742555002,0.166396660492287
"3C_C_6","Cellulose","3","3C","C",6,"run2",36,1.99220543069562,5.05560247806393,0.203657929700338
"3C_C_7","Cellulose","3","3C","C",7,"run1",17,1.84909219002485,4.51635081983321,0.373767566754714
"3C_D_1","Cellulose","3","3C","D",1,"run2",33,1.2583938734053,2.16167537070641,0.106659507845071
"3C_D_2","Cellulose","3","3C","D",2,"run2",29,1.32415158302748,2.28214128946864,0.129620510577241
"3C_D_3","Cellulose","3","3C","D",3,"run2",32,1.13577997738324,2.00744034917697,0.0973000354535661
"3C_D_4","Cellulose","3","3C","D",4,"run2",35,1.71551255409074,3.56397658759881,0.158843552547222
"3C_D_5","Cellulose","3","3C","D",5,"run2",39,1.75705194782386,3.52877864562367,0.148598134842859
"3C_D_6","Cellulose","3","3C","D",6,"run2",31,1.76095457457219,4.09258794509646,0.187677046721538
"3C_D_7","Cellulose","3","3C","D",7,"run1",14,1.69700347632829,4.15495088719522,0.389826366426426
"3C_E_2","Cellulose","3","3C","E",2,"run2",32,1.44248109377467,2.78905292108778,0.132224398774959
"3C_E_3","Cellulose","3","3C","E",3,"run2",24,1.17844569896168,2.20414543002092,0.135388327278913
"3C_E_4","Cellulose","3","3C","E",4,"run2",34,1.45674190139061,2.60458849035628,0.126233915209363
"3C_E_5","Cellulose","3","3C","E",5,"run2",44,1.63394828902257,3.27636126051289,0.116456048308763
"3C_E_6","Cellulose","3","3C","E",6,"run1",15,1.68961140441716,3.66721680818869,0.361158341866893
"3C_E_7","Cellulose","3","3C","E",7,"run1",14,1.5746371528826,3.27991438379784,0.344927793957409
"3G_A_1","Glucose","3","3G","A",1,"run2",20,0.74402274540285,1.89945095966262,0.105219195546547
"3G_A_2","Glucose","3","3G","A",2,"run2",21,0.606375756949461,1.48148295737143,0.0873225381259751
"3G_A_3","Glucose","3","3G","A",3,"run2",17,0.769158506877644,1.84963640664646,0.126938211164634
"3G_A_4","Glucose","3","3G","A",4,"run2",24,0.640838510337959,1.51675286971107,0.0790863235425766
"3G_A_5","Glucose","3","3G","A",5,"run2",20,0.567921240377988,1.45225921194224,0.0882297533597429
"3G_A_6","Glucose","3","3G","A",6,"run2",32,0.735424420507587,1.72214973040284,0.065198978177789
"3G_A_7","Glucose","3","3G","A",7,"run2",13,0.658613452312481,1.52776672939978,0.148623962426062
"3G_B_1","Glucose","3","3G","B",1,"run2",25,0.726088683516042,1.80965420075742,0.0826792065086685
"3G_B_3","Glucose","3","3G","B",3,"run2",17,0.764019798192698,1.85823097541482,0.126287585795307
"3G_B_4","Glucose","3","3G","B",4,"run2",25,0.650052391597173,1.49248514743522,0.0766256475954555
"3G_B_5","Glucose","3","3G","B",5,"run2",18,0.592751495860562,1.41338476143318,0.100497717615381
"3G_B_6","Glucose","3","3G","B",6,"run2",15,0.898992557816247,1.79712495273897,0.163808430065528
"3G_B_7","Glucose","3","3G","B",7,"run1",9,0.577488434846762,1.44320249808975,0.197950923031232
"3G_C_2","Glucose","3","3G","C",2,"run2",18,0.674456559415752,1.61025126754224,0.109053662817001
"3G_C_3","Glucose","3","3G","C",3,"run2",22,0.759326279982871,1.84170405331722,0.0971289139171052
"3G_C_4","Glucose","3","3G","C",4,"run2",20,0.78622459555194,1.6889772337772,0.109754669854821
"3G_C_5","Glucose","3","3G","C",5,"run2",29,0.624034316186308,1.48067807392224,0.0643600928752663
"3G_C_6","Glucose","3","3G","C",6,"run2",31,0.745376393822962,1.72602576067446,0.0679753043792329
"3G_C_7","Glucose","3","3G","C",7,"run1",8,0.685999217826085,1.63664342258767,0.248219380797865
"3G_D_1","Glucose","3","3G","D",1,"run2",20,0.788896398363614,1.9743725781999,0.11004830478297
"3G_D_2","Glucose","3","3G","D",2,"run2",23,0.725326702346653,1.72602260394807,0.0898002505505651
"3G_D_3","Glucose","3","3G","D",3,"run2",21,0.772130621175214,1.91960012056363,0.103065371579139
"3G_D_4","Glucose","3","3G","D",4,"run2",23,0.704249676878459,1.52060188336737,0.0879273354571819
"3G_D_5","Glucose","3","3G","D",5,"run2",25,0.62841022772875,1.4817627361727,0.0749851190994481
"3G_D_6","Glucose","3","3G","D",6,"run2",21,0.712761589583614,1.67473504907667,0.0971245748026881
"3G_D_7","Glucose","3","3G","D",7,"run1",8,0.611007657037602,1.54440759024844,0.230285857138583
"3G_E_1","Glucose","3","3G","E",1,"run2",20,0.804064662124299,1.99085366981473,0.111730270497897
"3G_E_2","Glucose","3","3G","E",2,"run2",29,0.776281718172451,1.81869530475611,0.0749439999395098
"3G_E_3","Glucose","3","3G","E",3,"run2",22,0.813616743282675,2.00568434999339,0.102547855126431
"3G_E_4","Glucose","3","3G","E",4,"run2",25,0.707114530335331,1.48018015538089,0.0811252279149244
"3G_E_5","Glucose","3","3G","E",5,"run2",21,0.66618979068668,1.47199999986075,0.0927050207098893
"3G_E_6","Glucose","3","3G","E",6,"run2",28,0.763537158739913,1.73316456396682,0.0766376084006047
"5C_A_1","Cellulose","5","5C","A",1,"run1",14,1.35810551568157,2.63126652513122,0.277772786580502
"5C_A_2","Cellulose","5","5C","A",2,"run1",16,1.0999166279201,2.06960755113865,0.187744723176075
"5C_A_3","Cellulose","5","5C","A",3,"run1",9,0.901823544012697,1.93441519049811,0.273788044182848
"5C_A_4","Cellulose","5","5C","A",4,"run1",11,1.04180278958061,2.02391467894715,0.257665645238102
"5C_A_5","Cellulose","5","5C","A",5,"run1",12,1.17702968654469,2.31522460764134,0.270393502790593
"5C_A_6","Cellulose","5","5C","A",6,"run1",9,0.672009904879189,1.38100421168477,0.217574344632348
"5C_A_7","Cellulose","5","5C","A",7,"run1",14,1.76086778293629,4.20997874289269,0.415534536967487
"5C_B_2","Cellulose","5","5C","B",2,"run1",12,1.11344003048634,2.21101288855055,0.25373455453618
"5C_B_3","Cellulose","5","5C","B",3,"run1",13,1.23811947072929,2.51580051107037,0.265317014528048
"5C_B_4","Cellulose","5","5C","B",4,"run1",11,0.856286528656529,1.69295580186892,0.214036494352564
"5C_B_5","Cellulose","5","5C","B",5,"run1",12,1.14933742475887,2.26539614128422,0.263008421861729
"5C_B_6","Cellulose","5","5C","B",6,"run1",6,0.943833185457887,1.92075037853313,0.428302188871566
"5C_B_7","Cellulose","5","5C","B",7,"run1",11,1.68407691553593,3.76486082710124,0.48977050376154
"5C_C_1","Cellulose","5","5C","C",1,"run1",11,1.20050060533456,2.40107224308967,0.301979946097181
"5C_C_2","Cellulose","5","5C","C",2,"run1",13,1.11712461569591,2.04573912016713,0.235081094410919
"5C_C_3","Cellulose","5","5C","C",3,"run1",15,1.26667349193045,2.3562413914979,0.236601802488623
"5C_C_4","Cellulose","5","5C","C",4,"run1",22,1.82239286405118,4.33169612417602,0.281211115982169
"5C_C_5","Cellulose","5","5C","C",5,"run1",17,1.63860707704853,3.55096750134162,0.302823162182329
"5C_C_6","Cellulose","5","5C","C",6,"run1",10,0.912768448428497,1.67833355246829,0.249120978129474
"5C_C_7","Cellulose","5","5C","C",7,"run1",13,1.96729967356127,5.24646873130171,0.550103033920136
"5C_D_1","Cellulose","5","5C","D",1,"run1",9,1.09695762945833,2.43005636788657,0.332782236328013
"5C_D_2","Cellulose","5","5C","D",2,"run1",16,1.3173657491798,2.82747143886297,0.233348327709361
"5C_D_3","Cellulose","5","5C","D",3,"run1",11,1.23507519232747,2.70807552821739,0.312603370009923
"5C_D_4","Cellulose","5","5C","D",4,"run1",14,0.852002380186885,1.57580056678397,0.167452600571198
"5C_D_5","Cellulose","5","5C","D",5,"run1",16,1.28191853521038,2.62917967243341,0.225221664310748
"5C_D_6","Cellulose","5","5C","D",6,"run1",7,0.706693537100296,1.45621869299078,0.289611006896071
"5C_D_7","Cellulose","5","5C","D",7,"run1",13,1.77044589363172,4.58391246235519,0.451805517016984
"5C_E_1","Cellulose","5","5C","E",1,"run1",12,1.36718310011433,2.7878435037657,0.327023400437706
"5C_E_2","Cellulose","5","5C","E",2,"run1",15,1.05456756896361,1.89826807606275,0.191382232746343
"5C_E_3","Cellulose","5","5C","E",3,"run1",13,1.13902892064322,2.23326586043018,0.240287192212296
"5C_E_4","Cellulose","5","5C","E",4,"run1",13,0.875061585999348,1.70340582992449,0.184540233511442
"5C_E_5","Cellulose","5","5C","E",5,"run1",15,1.50080258658835,3.10050189113896,0.299019163846308
"5C_E_6","Cellulose","5","5C","E",6,"run1",10,0.901770518640231,1.71881764183664,0.246396174169253
"5C_E_7","Cellulose","5","5C","E",7,"run1",14,1.75433911195485,3.78546067552638,0.412830485230936
"5G_A_1","Glucose","5","5G","A",1,"run1",6,0.643269242042301,1.72856953911051,0.317115180020268
"5G_A_2","Glucose","5","5G","A",2,"run1",7,0.775851548745132,2.04695700755953,0.310348754199346
"5G_A_3","Glucose","5","5G","A",3,"run1",5,0.625418457544651,1.70114195817587,0.37380558052848
"5G_A_4","Glucose","5","5G","A",4,"run1",5,0.689881469710654,1.78681590785554,0.398695846313756
"5G_A_5","Glucose","5","5G","A",5,"run1",5,0.664055626715219,1.77448408002193,0.388531012650234
"5G_A_6","Glucose","5","5G","A",6,"run1",6,0.717975990779755,1.83524706152717,0.341713204025792
"5G_A_7","Glucose","5","5G","A",7,"run1",5,0.646021303227826,1.69850446341397,0.381586922869057
"5G_B_1","Glucose","5","5G","B",1,"run1",5,0.663963670570866,1.80934950959816,0.388495286478995
"5G_B_2","Glucose","5","5G","B",2,"run1",6,0.732494265636216,2.003336794569,0.346710478368196
"5G_B_3","Glucose","5","5G","B",3,"run1",5,0.63052456033833,1.6848029794929,0.375719151535045
"5G_B_4","Glucose","5","5G","B",4,"run1",4,0.653394569861677,1.76552647982806,0.480513578792036
"5G_B_5","Glucose","5","5G","B",5,"run1",6,0.683327371955769,1.78818958694779,0.330076082761515
"5G_B_6","Glucose","5","5G","B",6,"run1",5,0.644682130818778,1.68108493070165,0.38107625420331
"5G_B_7","Glucose","5","5G","B",7,"run1",7,0.713810243022238,1.81532738081592,0.291679434730165
"5G_C_1","Glucose","5","5G","C",1,"run1",6,0.698851526182771,1.86552838920263,0.335240215460878
"5G_C_2","Glucose","5","5G","C",2,"run1",5,0.726167230798307,2.01171379081999,0.413428504953491
"5G_C_3","Glucose","5","5G","C",3,"run1",4,0.591474150498299,1.62045448716369,0.451662431731063
"5G_C_4","Glucose","5","5G","C",4,"run1",5,0.624537548079481,1.66254110746373,0.373476436648723
"5G_C_5","Glucose","5","5G","C",5,"run1",6,0.625969102478563,1.6617380591933,0.311676226132362
"5G_C_6","Glucose","5","5G","C",6,"run1",8,0.628795697886493,1.57339434315028,0.234418841239899
"5G_C_7","Glucose","5","5G","C",7,"run1",5,0.659700636532406,1.7517953256192,0.386842642989532
"5G_D_1","Glucose","5","5G","D",1,"run1",5,0.659988348515647,1.79118593608502,0.38695395826615
"5G_D_2","Glucose","5","5G","D",2,"run1",7,0.774568872945318,2.04467378451751,0.309950932555473
"5G_D_3","Glucose","5","5G","D",3,"run1",5,0.543626778095494,1.52255318355243,0.344448347541024
"5G_D_4","Glucose","5","5G","D",4,"run1",5,0.613968966855269,1.65282061983742,0.369550105015929
"5G_D_5","Glucose","5","5G","D",5,"run1",5,0.62017302467239,1.66337836367158,0.371849942017849
"5G_D_6","Glucose","5","5G","D",6,"run1",4,0.621937799540783,1.67655505351434,0.465633441051859
"5G_D_7","Glucose","5","5G","D",7,"run1",5,0.661507801649849,1.72269546442246,0.387542363584776
"5G_E_1","Glucose","5","5G","E",1,"run1",7,0.618106958586375,1.62386011360666,0.265058906115717
"5G_E_2","Glucose","5","5G","E",2,"run1",6,0.726108937246629,1.98580552748536,0.344503671200002
"5G_E_3","Glucose","5","5G","E",3,"run1",5,0.62463945337671,1.66584792370586,0.373514497815292
"5G_E_4","Glucose","5","5G","E",4,"run1",5,0.657491981267723,1.74489522505199,0.385989183795003
"5G_E_5","Glucose","5","5G","E",5,"run1",6,0.657604682339412,1.72238044362175,0.32169390636758
"5G_E_6","Glucose","5","5G","E",6,"run1",6,0.601415980874558,1.58391463429021,0.304116785550215
"5G_E_7","Glucose","5","5G","E",7,"run1",8,0.736178143214304,1.83155706815811,0.260992554609808
"7C_A_1","Cellulose","7","7C","A",1,"run1",12,1.18837354838788,2.38357893022144,0.273478272852474
"7C_A_2","Cellulose","7","7C","A",2,"run1",12,1.31280011074867,2.66612822665491,0.3097138293316
"7C_A_3","Cellulose","7","7C","A",3,"run2",30,1.40073516167914,2.89983688983633,0.135272743019076
"7C_A_4","Cellulose","7","7C","A",4,"run2",26,1.31080977505283,2.60847584122303,0.142660619026422
"7C_A_5","Cellulose","7","7C","A",5,"run2",29,1.31568032068942,2.73992276985293,0.128527099054475
"7C_A_6","Cellulose","7","7C","A",6,"run2",25,1.27754085068137,2.6595911596725,0.143512236708675
"7C_A_7","Cellulose","7","7C","A",7,"run2",29,1.28551598740806,2.65963231966599,0.124708053849672
"7C_B_1","Cellulose","7","7C","B",1,"run1",12,1.26187437099842,2.68206224904532,0.294336302658536
"7C_B_2","Cellulose","7","7C","B",2,"run2",24,1.1903354099203,2.50360250099359,0.137007662997817
"7C_B_3","Cellulose","7","7C","B",3,"run2",29,1.19746080909696,2.52146417960777,0.114196455386446
"7C_B_4","Cellulose","7","7C","B",4,"run2",25,1.24397541582856,2.58968874126764,0.138775132303467
"7C_B_5","Cellulose","7","7C","B",5,"run2",28,1.16382062891496,2.39238292903199,0.114362290684365
"7C_B_6","Cellulose","7","7C","B",6,"run2",23,1.09887119617269,2.31117697015025,0.130468557524872
"7C_B_7","Cellulose","7","7C","B",7,"run2",24,1.30256340966263,2.4255161984454,0.153279776835866
"7C_C_1","Cellulose","7","7C","C",1,"run1",16,1.56187752684465,3.33118390636707,0.297985278293969
"7C_C_2","Cellulose","7","7C","C",2,"run2",33,1.49151091031497,3.08358919685324,0.134660746653189
"7C_C_3","Cellulose","7","7C","C",3,"run2",28,1.5231898865379,3.15816791400128,0.163815477198218
"7C_C_4","Cellulose","7","7C","C",4,"run2",25,1.11379227828957,2.39771612840953,0.121835494905106
"7C_C_5","Cellulose","7","7C","C",5,"run2",26,1.29374289130552,2.65355609262264,0.140246506116357
"7C_C_6","Cellulose","7","7C","C",6,"run2",22,1.07960929913028,2.32110652006728,0.133796785769232
"7C_C_7","Cellulose","7","7C","C",7,"run2",27,1.64420960873193,3.45497892263956,0.191737648143258
"7C_D_1","Cellulose","7","7C","D",1,"run1",14,1.39421892703837,2.8586607885689,0.287987442399341
