"Sample_Name","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run","Richness","Shannon","InverseSimpson","Pielou","Count"
"3C_E_5","Cellulose","3","3C","E",5,"run2",6.6332495807108,1.63394947422014,3.27636218716065,0.116456186332271,44
"3C_E_6","Cellulose","3","3C","E",6,"run1",3.87298334620742,1.68961140541852,3.66721681585073,0.361158342228541,15
"3C_E_7","Cellulose","3","3C","E",7,"run1",3.74165738677394,1.57463714855552,3.279914376498,0.344927792464881,14
"3G_A_1","Glucose","3","3G","A",1,"run2",4.47213595499958,0.74402289350717,1.89945098947031,0.105219211129965,20
"3G_A_2","Glucose","3","3G","A",2,"run2",4.58257569495584,0.606375984748411,1.48148302138208,0.0873225580179599,21
"3G_A_3","Glucose","3","3G","A",3,"run2",4.12310562561766,0.769158800072581,1.84963650947297,0.126938248382281,17
"3G_A_4","Glucose","3","3G","A",4,"run2",4.89897948556636,0.640839682130371,1.51675322666321,0.0790864162153847,24
"3G_A_5","Glucose","3","3G","A",5,"run2",4.47213595499958,0.567921279171665,1.45225922559227,0.0882297567824996,20
"3G_A_6","Glucose","3","3G","A",6,"run2",5.65685424949238,0.735422808148751,1.72214914514718,0.0651988730537252,32
"3G_A_7","Glucose","3","3G","A",7,"run2",3.60555127546399,0.658613447209729,1.52776672557198,0.14862396166767,13
"3G_B_1","Glucose","3","3G","B",1,"run2",5,0.726088029391271,1.80965394998557,0.0826791524261691,25
"3G_B_3","Glucose","3","3G","B",3,"run2",4.12310562561766,0.76402027704061,1.85823117989218,0.126287646267869,17
"3G_B_4","Glucose","3","3G","B",4,"run2",5,0.650052627580921,1.49248522449173,0.0766256656778652,25
"3G_B_5","Glucose","3","3G","B",5,"run2",4.24264068711929,0.592751115621724,1.413384637042,0.100497679402253,18
"3G_B_6","Glucose","3","3G","B",6,"run2",3.87298334620742,0.898992564694754,1.79712495883899,0.163808431192285,15
"3G_B_7","Glucose","3","3G","B",7,"run1",3,0.577488426583838,1.44320249394296,0.197950921395578,9
"3G_C_2","Glucose","3","3G","C",2,"run2",4.24264068711929,0.674456642329147,1.61025129400686,0.109053671859011,18
"3G_C_3","Glucose","3","3G","C",3,"run2",4.69041575982343,0.759327082007631,1.84170434939918,0.0971289918169302,22
"3G_C_4","Glucose","3","3G","C",4,"run2",4.47213595499958,0.786226019197491,1.68897776861119,0.109754826106679,20
"3G_C_5","Glucose","3","3G","C",5,"run2",5.3851648071345,0.624033665627175,1.48067783996636,0.0643600510052337,29
"3G_C_6","Glucose","3","3G","C",6,"run2",5.56776436283002,0.745378341992391,1.72602642691546,0.0679754368067718,31
"3G_C_7","Glucose","3","3G","C",7,"run1",2.82842712474619,0.685999224918581,1.63664342690637,0.24821938255836,8
"3G_D_1","Glucose","3","3G","D",1,"run2",4.47213595499958,0.78889711519795,1.97437287573034,0.110048383669401,20
