"Sample_Name","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run","MDS1","MDS2","MDS3"
"5G_C_1","Glucose","5","5G","C",1,"run1",0.979122984251241,0.247596579064231,0.51943511572479
"5G_C_2","Glucose","5","5G","C",2,"run1",1.06364252692556,0.0675606849398665,0.207594286959307
"5G_C_3","Glucose","5","5G","C",3,"run1",1.05610266758239,-0.0729679630806146,-0.151192332576676
"5G_C_4","Glucose","5","5G","C",4,"run1",1.0541502701716,-0.0637043073712839,-0.128504692132755
"5G_C_5","Glucose","5","5G","C",5,"run1",1.04446593901764,-0.0707465064950685,-0.128686874654292
"5G_C_6","Glucose","5","5G","C",6,"run1",1.04016559022641,-0.0656608635016325,-0.216239988653079
"5G_C_7","Glucose","5","5G","C",7,"run1",1.05675700361134,-0.0524474253603612,-0.0655244717721555
"5G_D_1","Glucose","5","5G","D",1,"run1",0.988947275801636,0.279010596317764,0.567284188364632
"5G_D_2","Glucose","5","5G","D",2,"run1",1.02251002953922,0.140219024153323,0.333909551311302
"5G_D_3","Glucose","5","5G","D",3,"run1",1.05347572531462,-0.0794017361831785,-0.218861711188402
"5G_D_4","Glucose","5","5G","D",4,"run1",1.05546379970269,-0.0700145619485837,-0.131553257286762
"5G_D_5","Glucose","5","5G","D",5,"run1",1.05534580317776,-0.067588214187667,-0.125337096143941
"5G_D_6","Glucose","5","5G","D",6,"run1",1.05739667637915,-0.0645583168092852,-0.114893286458765
"5G_D_7","Glucose","5","5G","D",7,"run1",1.0479906399153,-0.0626518327173605,-0.0939565700770136
"5G_E_1","Glucose","5","5G","E",1,"run1",0.945940272763952,0.360319438009256,0.691686589519053
"5G_E_2","Glucose","5","5G","E",2,"run1",1.06207807775776,0.0282034706450508,0.146521457598677
"5G_E_3","Glucose","5","5G","E",3,"run1",1.05371537356216,-0.0629371853699037,-0.125590103101063
"5G_E_4","Glucose","5","5G","E",4,"run1",1.05926917784987,-0.0558289762520908,-0.0707803687252951
"5G_E_5","Glucose","5","5G","E",5,"run1",1.05513962018577,-0.0562271976556576,-0.0905495256791266
"5G_E_6","Glucose","5","5G","E",6,"run1",1.04423329568479,-0.0786325237494523,-0.186694863144061
"5G_E_7","Glucose","5","5G","E",7,"run1",1.04044214245412,-0.0357688526502215,-0.0333537355110604
"7C_A_1","Cellulose","7","7C","A",1,"run1",-1.33962652545104,-0.427379976705124,0.00892853129696444
"7C_A_2","Cellulose","7","7C","A",2,"run1",-1.37278800070008,-0.391780506505016,-0.0295573294886602
"7C_B_1","Cellulose","7","7C","B",1,"run1",-1.29732772552651,-0.498100088384709,-0.314353333541469
"7C_C_1","Cellulose","7","7C","C",1,"run1",-1.26957857442719,-0.48056406426263,-0.160671823970761
"7C_D_1","Cellulose","7","7C","D",1,"run1",-1.27249458747182,-0.481262007403497,-0.466363013278323
"7C_E_1","Cellulose","7","7C","E",1,"run1",-1.31975866451147,-0.521654685546827,-0.197031282873734
"7G_A_1","Glucose","7","7G","A",1,"run1",0.967294362235205,0.342234894554574,0.663387602311887
"7G_A_2","Glucose","7","7G","A",2,"run1",1.029321381853,-0.0736291268785948,-0.154272489911095
"7G_B_1","Glucose","7","7G","B",1,"run1",0.889286562495146,0.438152752939232,0.824704670238618
"7G_B_2","Glucose","7","7G","B",2,"run1",1.0655711170697,0.0335609289099859,0.153684608067826
"7G_C_2","Glucose","7","7G","C",2,"run1",1.0621306071851,-0.0672447896362304,-0.104465400537333
"7G_D_2","Glucose","7","7G","D",2,"run1",1.03159888208172,0.128277289517896,0.325582477401104
"7G_E_1","Glucose","7","7G","E",1,"run1",1.06536853167797,0.0697793383654251,0.217457306367431
"7G_E_2","Glucose","7","7G","E",2,"run1",1.05468595323052,-0.0720740797971989,-0.15116809179813
"2C_A_4","Cellulose","2","2C","A",4,"run2",-1.12458741591082,0.323965558179055,0.172994695090637
"2C_A_6","Cellulose","2","2C","A",6,"run2",-0.929111922212855,0.0562914356435236,0.256169863069741
"2C_A_7","Cellulose","2","2C","A",7,"run2",-0.752280606262155,0.0775708768754769,0.210978383066652
"2C_B_4","Cellulose","2","2C","B",4,"run2",-1.19480349651355,0.305835941493657,0.230801545179622
"2C_B_6","Cellulose","2","2C","B",6,"run2",-0.773983679363358,0.0779385904329045,0.255024711273112
"2C_C_4","Cellulose","2","2C","C",4,"run2",-1.15302527735229,0.285506566789941,0.227708084134479
"2C_C_6","Cellulose","2","2C","C",6,"run2",-0.817861247422446,0.0900590540990406,0.253146148376146
"2C_D_4","Cellulose","2","2C","D",4,"run2",-1.10352721301625,0.339769435767433,0.188036827501606
"2C_D_6","Cellulose","2","2C","D",6,"run2",-0.799648782771837,0.232537235607981,0.173170247994684
"2C_D_7","Cellulose","2","2C","D",7,"run2",-0.619694194948644,0.197911893267746,0.107569827415066
"2C_E_3","Cellulose","2","2C","E",3,"run2",-1.15215501769021,0.342448483353127,0.184714306594346
"2C_E_6","Cellulose","2","2C","E",6,"run2",-0.970737274670031,0.089174717556209,0.334277897194045
"2C_E_7","Cellulose","2","2C","E",7,"run2",-0.97170022427182,-0.00503733376382637,0.390405395606729
"2G_A_3","Glucose","2","2G","A",3,"run2",0.95234289121616,-0.106495735689199,-0.285884272563682
"2G_A_4","Glucose","2","2G","A",4,"run2",0.931186363407599,-0.0952857853875347,-0.0934672748832023
"2G_A_6","Glucose","2","2G","A",6,"run2",0.936919826824563,-0.110182413734368,-0.178185932607231
"2G_A_7","Glucose","2","2G","A",7,"run2",0.90853935105241,-0.131849829985171,-0.27844370111101
"2G_B_3","Glucose","2","2G","B",3,"run2",0.941541232009249,-0.103155184299565,-0.247978820531844
"2G_B_4","Glucose","2","2G","B",4,"run2",0.897146658313936,-0.103011145554121,-0.162974885591715
"2G_B_6","Glucose","2","2G","B",6,"run2",0.932848478117802,-0.100204143974878,-0.169960692949443
"2G_B_7","Glucose","2","2G","B",7,"run2",0.927251619435924,-0.110610786194298,-0.140818905608479
"2G_C_2","Glucose","2","2G","C",2,"run2",0.958256237467207,-0.102829690609332,-0.157080881217653
"2G_C_3","Glucose","2","2G","C",3,"run2",0.962030477748576,-0.11160292687499,-0.259216444367021
"2G_C_4","Glucose","2","2G","C",4,"run2",0.945642878471507,-0.112528805392921,-0.165128454543652
"2G_C_6","Glucose","2","2G","C",6,"run2",0.888662743099531,-0.132091148122483,-0.142309150081673
"2G_C_7","Glucose","2","2G","C",7,"run2",0.910489090720371,-0.132552844869658,-0.252078523650397
"2G_D_2","Glucose","2","2G","D",2,"run2",0.987011607222689,-0.108617853590694,-0.117426316787845
"2G_D_3","Glucose","2","2G","D",3,"run2",0.996523788193216,-0.0715823881928351,0.0437883634410517
"2G_D_4","Glucose","2","2G","D",4,"run2",1.00000665415853,-0.0580066731053411,0.0745763263827006
"2G_D_5","Glucose","2","2G","D",5,"run2",0.84274780365555,-0.0761106568795117,-0.0580827385234021
"2G_D_6","Glucose","2","2G","D",6,"run2",0.960220932522204,-0.113923945672839,-0.138112458414137
"2G_D_7","Glucose","2","2G","D",7,"run2",0.970467416298296,-0.0914987779865376,0.0326659065400607
"2G_E_2","Glucose","2","2G","E",2,"run2",0.987035504959995,-0.100615316034349,-0.112074168933165
"2G_E_4","Glucose","2","2G","E",4,"run2",0.914925609002951,-0.13751284622381,-0.0757052243026504
"2G_E_5","Glucose","2","2G","E",5,"run2",0.844043682788371,-0.0826268456208455,-0.114508969992717
"2G_E_6","Glucose","2","2G","E",6,"run2",0.96219765285832,-0.0958804652689112,0.000713159847280169
"2G_E_7","Glucose","2","2G","E",7,"run2",0.966549881285657,-0.0799346500147339,0.0512715705813815
"3C_A_1","Cellulose","3","3C","A",1,"run2",-0.980101989309447,-0.0212865344732047,0.466813818648965
"3C_A_2","Cellulose","3","3C","A",2,"run2",-1.03848939827233,0.0438342394695718,0.434091834653488
"3C_A_3","Cellulose","3","3C","A",3,"run2",-1.11050969588627,-0.0175999366227058,0.505412302161283
"3C_A_4","Cellulose","3","3C","A",4,"run2",-0.599999652964446,-0.143970225997255,0.314922791734045
"3C_A_5","Cellulose","3","3C","A",5,"run2",-0.580991314851674,-0.243664425784698,0.28217668296005
"3C_A_6","Cellulose","3","3C","A",6,"run2",-0.366695826399819,-0.265765077700546,0.357884058377063
"3C_B_1","Cellulose","3","3C","B",1,"run2",-0.987321256143168,0.160194940644249,0.347775549359174
"3C_B_2","Cellulose","3","3C","B",2,"run2",-1.03693665899571,0.075514491971538,0.408486104181784
"3C_B_3","Cellulose","3","3C","B",3,"run2",-0.987498605815841,0.0699971712841013,0.450597397668027
"3C_B_4","Cellulose","3","3C","B",4,"run2",-0.401243242698915,-0.0962316614879173,0.364614284356649
"3C_B_5","Cellulose","3","3C","B",5,"run2",-0.557037538664294,-0.166339427357229,0.322609645940142
"3C_B_6","Cellulose","3","3C","B",6,"run2",-0.291552752748996,-0.0969739028387383,0.483206536034849
"3C_C_1","Cellulose","3","3C","C",1,"run2",-1.04414822673794,0.13082746691902,0.353087032627853
"3C_C_2","Cellulose","3","3C","C",2,"run2",-1.08035150663332,0.00721681033623479,0.421161721800288
"3C_C_3","Cellulose","3","3C","C",3,"run2",-1.17679666950092,-0.11050027969156,0.538824792500861
"3C_C_4","Cellulose","3","3C","C",4,"run2",-0.780051718089363,-0.14736175136205,0.351716362733187
"3C_C_5","Cellulose","3","3C","C",5,"run2",-0.71667773129945,-0.223185243051885,0.340952181224841
