,Pseudomonas.1,Asticcacaulis,Cellvibrio,Pseudomonas.2,Cohnella,Lacunisphaera,Taibaiella,Achromobacter,Leadbetterella,Bordetella,Shinella,Xylophilus,Methylophilus,Stenotrophomonas,Pleomorphomonas
2G_B_1,0.654033453,0.017361846,0.000846919,0.300444633,0.002964218,0,0,0,0,0.0120686,0,0.002752488,0,0,0
2G_E_3,0.691944784,0.001747335,0,0.259129827,0.00297047,0,0.018347021,0,0,0.007164075,0,0,0,0,0
3C_A_7,0,0.059459459,0.345454545,0.226535627,0.168550369,0.006633907,0.046437346,0,0.014250614,0,0.005896806,0.025552826,0,0,0
3C_B_7,0.004783417,0.093010896,0.133138453,0.326866862,0.23013553,0.005580654,0.08291257,0,0.017804943,0,0.004783417,0.020196652,0,0,0
3C_C_7,0.004604944,0.080950073,0.361366941,0.149054775,0.1095492,0.003877848,0.120940378,0,0.019146873,0,0.006543868,0.025933107,0.001696558,0,0
3C_D_7,0,0.094495705,0.125357938,0.328985046,0.277123767,0.002227171,0.051543112,0,0.012726694,0,0.005090678,0.009863188,0,0,0
3C_E_6,0,0.102737158,0.439445069,0.07480315,0.146794151,0.002249719,0.100112486,0,0.025309336,0,0.006186727,0.014810649,0.001312336,0,0
3C_E_7,0,0.054112554,0.449945887,0.148268398,0.13771645,0.003246753,0,0,0.031114719,0,0.008928571,0.040313853,0,0,0
3G_B_7,0.816130852,0.001316037,0.002444068,0.16356458,0,0,0,0,0,0.002444068,0,0,0,0,0
3G_C_7,0.747834456,0,0.002887392,0.227141482,0,0,0,0,0,0,0,0,0,0,0
3G_D_7,0.777588592,0.000957752,0,0.206874534,0,0,0,0,0,0,0,0,0,0,0
5C_A_1,0.008951407,0.04859335,0.545716113,0.007672634,0.019501279,0.271099744,0.010549872,0,0.019501279,0,0.012148338,0.042519182,0.002237852,0,0
5C_A_2,0.00473427,0.032376298,0.653023824,0,0.015577276,0.229077581,0.012370189,0,0.020616982,0,0.008094075,0.015424557,0.001985339,0,0
5C_A_3,0,0.023419204,0.664064533,0.002081707,0.014571949,0.270882123,0.005724694,0,0.013010669,0,0.001301067,0.003382774,0,0,0
5C_A_4,0.002360009,0.021240077,0.658442394,0,0.018665522,0.236215404,0.018021884,0,0.021883716,0,0.005578202,0.011800043,0,0,0
