"","Pseudomonas.1","Asticcacaulis","Cellvibrio","Pseudomonas.2","Cohnella","Lacunisphaera","Taibaiella","Achromobacter","Leadbetterella","Bordetella","Shinella","Stenotrophomonas","Xylophilus","Methylophilus","Pleomorphomonas","Nubsella","Devosia","Bosea","Parapedobacter","Youhaiella","Dysgonomonas","Rhodopseudomonas","Azonexus","Pigmentiphaga","Pseudaminobacter","Kaistia","Neorhizobium","Dokdonella","Sphingopyxis","Afipia","Cellulomonas","Herbaspirillum","Mesorhizobium","Phenylobacterium","Microbacterium","Kurthia","Flavobacterium","Candidatus Megaira","Pusillimonas","Saccharofermentans","Nocardioides","Megasphaera","Sporosarcina","Terrisporobacter","Anaerovorax","Terrimonas","Ellin6055","Fibrobacter","Christensenellaceae R-7 group","NK4A214 group","Chishuiella","Acinetobacter","Lachnospiraceae XPB1014 group","Lachnospiraceae UCG-008","Succiniclasticum","Rikenellaceae RC9 gut group","Enterococcus","Succinivibrionaceae UCG-001","Latilactobacillus","Rhodococcus"
"2C_E_2",0.0141941391941392,0.510531135531135,0.359203296703297,0.0384615384615385,0.00572344322344322,0,0,0.021978021978022,0.00824175824175824,0,0.0180860805860806,0.00137362637362637,0.000686813186813187,0.010989010989011,0,0,0,0,0,0.00320512820512821,0,0.00183150183150183,0,0,0.00183150183150183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2G_A_1",0.751330494944119,0.00731772219265567,0.000532197977647685,0.223523150612028,0,0,0.00133049494411921,0,0,0.00359233634912187,0,0.00319318786588611,0.00478978179882916,0,0,0.00133049494411921,0,0,0,0,0.00172964342735498,0,0,0,0.00133049494411921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2G_A_2",0.650985378258106,0.0183301546937911,0,0.229073956346684,0.0066751430387794,0,0.04089849544395,0,0,0.0148336511972876,0,0.00646323373596101,0.00847637211273575,0,0.000847637211273575,0.00879423606696334,0,0.00211909302818394,0,0,0.00127145581691036,0,0,0,0.00932400932400932,0,0,0,0,0,0,0,0,0,0.000529773257045984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2G_B_1",0.654033453313572,0.0173618462841414,0.000846919330933729,0.30044463264874,0.00296421765826805,0,0,0,0,0.0120686004658056,0,0.000846919330933729,0.00275248782553462,0,0,0.00359940715646835,0,0.00127037899640059,0,0,0.00296421765826805,0,0,0,0.000846919330933729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2G_E_3",0.691944784204089,0.00174733531364669,0,0.259129827013804,0.00297047003319937,0,0.0183470207932902,0,0,0.00716407478595142,0,0.0022715359077407,0,0,0,0.0124060807268915,0,0.00209680237637603,0,0,0,0,0,0,0.00192206884501136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3C_A_7",0,0.0594594594594595,0.345454545454545,0.226535626535627,0.168550368550369,0.00663390663390663,0.0464373464373464,0,0.0142506142506142,0,0.0058968058968059,0.00245700245700246,0.0255528255528256,0,0.0181818181818182,0.00540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3C_B_7",0.00478341748604837,0.0930108955620516,0.13313845336168,0.326866861546638,0.230135530162105,0.00558065373372309,0.0829125697581717,0,0.0178049428647356,0,0.00478341748604837,0.00239170874302418,0.0201966516077598,0,0.0172734520329524,0.00717512622907255,0,0,0,0.00318894499069891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3C_C_7",0.00460494425593795,0.0809500727096461,0.361366941347552,0.149054774600097,0.109549200193892,0.00387784779447407,0.12094037809016,0.0016965584100824,0.0191468734852157,0,0.00654386815317499,0.00339311682016481,0.0259331071255453,0.0016965584100824,0.023509452253999,0.00605913717886573,0,0,0,0.0016965584100824,0,0.000727096461463887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3C_D_7",0,0.0944957047406936,0.125357938275533,0.328985046134267,0.277123767101495,0.0022271714922049,0.051543111676742,0,0.0127266942411709,0,0.00509067769646834,0.00381800827235126,0.00986318803690741,0,0.0184537066496977,0,0,0,0,0.00286350620426344,0.00699968183264397,0,0,0,0,0,0,0,0,0,0.00127266942411709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3C_E_6",0,0.102737157855268,0.439445069366329,0.0748031496062992,0.146794150731159,0.00224971878515186,0.100112485939258,0,0.0253093363329584,0,0.0061867266591676,0.000749906261717285,0.0148106486689164,0.00131233595800525,0.0144356955380577,0.00543682039745032,0,0,0,0.00299962504686914,0.00468691413573303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
